PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN_AVG,FGM_AVG,FGM_PER48,FGM_PER40,FGM_PER36,FGA_AVG,FGA_PER48,FGA_PER40,FGA_PER36,FG_PCT,FG3M_AVG,FG3M_PER48,FG3M_PER40,FG3M_PER36,FG3A_AVG,FG3A_PER48,FG3A_PER40,FG3A_PER36,FG3_PCT,FTM_AVG,FTM_PER48,FTM_PER40,FTM_PER36,FTA_AVG,FTA_PER48,FTA_PER40,FTA_PER36,FT_PCT,OREB_AVG,OREB_PER48,OREB_PER40,OREB_PER36,DREB_AVG,DREB_PER48,DREB_PER40,DREB_PER36,REB_AVG,REB_PER48,REB_PER40,REB_PER36,AST_AVG,AST_PER48,AST_PER40,AST_PER36,TOV_AVG,TOV_PER48,TOV_PER40,TOV_PER36,STL_AVG,STL_PER48,STL_PER40,STL_PER36,BLK_AVG,BLK_PER48,BLK_PER40,BLK_PER36,BLKA_AVG,BLKA_PER48,BLKA_PER40,BLKA_PER36,PF_AVG,PF_PER48,PF_PER40,PF_PER36,PFD_AVG,PFD_PER48,PFD_PER40,PFD_PER36,PTS_AVG,PTS_PER48,PTS_PER40,PTS_PER36,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,TEAM_COUNT,HEIGHT,WEIGHT
Georges Niang,ATL,32.0,79,55,24,0.696,21.48396624472574,3.6202531645569622,8.088457686038062,6.740381405031718,6.066343264528546,7.848101265822785,17.53441875994265,14.612015633285543,13.150814069956988,0.461,2.1012658227848102,4.694699216371742,3.912249346976452,3.521024412278807,5.177215189873418,11.56706011744604,9.639216764538366,8.67529508808453,0.406,0.5822784810126582,1.3009407467054226,1.0841172889211854,0.9757055600290669,0.7341772151898734,1.6403165936720545,1.3669304947267122,1.230237445254041,0.793,0.5949367088607594,1.3292220672859751,1.107685056071646,0.9969165504644814,2.848101265822785,6.363297130624349,5.302747608853624,4.772472847968261,3.4430379746835444,7.692519197910325,6.4104326649252705,5.769389398432744,1.4050632911392404,3.139226584441346,2.6160221537011212,2.3544199383310094,1.0379746835443038,2.3190682876053184,1.9325569063377654,1.7393012157039889,0.35443037974683544,0.7918769762554747,0.6598974802128955,0.593907732191606,0.17721518987341772,0.39593848812773735,0.32994874010644776,0.296953866095803,0.26582278481012656,0.593907732191606,0.4949231101596716,0.4454307991437045,2.5443037974683542,5.684545436691086,4.737121197242572,4.263409077518315,0.7341772151898734,1.6403165936720545,1.3669304947267122,1.230237445254041,9.924050632911392,22.172555335153287,18.477129445961072,16.629416501364965,1320.9,1,0,23,11,291,74,147,126,125,236,40,53,69,271,277,230,205,118,144,206,149,292,265,337,554,264,125,74,184,198,44,2,79.0,230
Dyson Daniels,ATL,22.0,76,37,39,0.487,33.83118421052632,5.9868421052631575,8.494187471073479,7.0784895592279,6.37064060330511,12.144736842105264,17.23106601274906,14.359221677290883,12.923299509561796,0.493,1.0526315789473684,1.4934835113975349,1.2445695928312792,1.1201126335481513,3.0921052631578947,4.387107814730259,3.6559231789418822,3.290330861047694,0.34,1.0921052631578947,1.5494891430749425,1.2912409525624522,1.1621168573062068,1.8421052631578947,2.613596144945686,2.1779967874547386,1.9601971087092647,0.593,1.631578947368421,2.314899442666179,1.9290828688884827,1.7361745819996344,4.276315789473684,6.067276765052486,5.056063970877071,4.550457573789364,5.907894736842105,8.382176207718665,6.985146839765553,6.286632155788999,4.381578947368421,6.2166251161922395,5.180520930160199,4.662468837144179,2.039473684210526,2.8936243033327242,2.4113535861106032,2.170218227499543,3.013157894736842,4.2750965513754435,3.5625804594795363,3.2063224135315824,0.7236842105263158,1.026769914085805,0.8556415950715044,0.7700774355643539,0.5921052631578947,0.8400844751611134,0.7000703959675946,0.6300633563708351,2.3026315789473686,3.266995181182108,2.722495984318423,2.450246385886581,1.7236842105263157,2.4455792499134636,2.0379827082612194,1.8341844374350975,14.118421052631579,20.03134759661944,16.69278966384953,15.023510697464578,2808.3,9,0,51,124,486,301,21,53,57,148,177,168,276,169,130,491,49,53,49,49,46,1,48,489,530,114,76,401,24,71,44,1,79.0,199
Trae Young,ATL,26.0,76,36,40,0.474,36.040263157894735,7.447368421052632,9.918731243565311,8.265609369637758,7.4390484326739825,18.105263157894736,24.11338196315524,20.094484969296037,18.085036472366433,0.411,2.8684210526315788,3.820288712185933,3.1835739268216106,2.8652165341394498,8.447368421052632,11.250575014786094,9.375479178988412,8.43793126108957,0.34,6.4605263157894735,8.604411732492169,7.170343110410141,6.453308799369127,7.381578947368421,9.831109942827101,8.192591619022584,7.373332457120326,0.875,0.47368421052631576,0.6308733653151081,0.5257278044292567,0.4731550239863311,2.6315789473684212,3.5048520295283785,2.9207100246069824,2.628639022146284,3.1052631578947367,4.135725394843487,3.4464378290362383,3.1017940461326146,11.578947368421053,15.421348929924866,12.85112410827072,11.566011697443649,4.671052631578948,6.221112352412872,5.184260293677393,4.6658342643096535,1.1973684210526316,1.5947076734354124,1.3289230611961769,1.1960307550765592,0.15789473684210525,0.2102911217717027,0.1752426014764189,0.15771834132877702,0.868421052631579,1.156601169744365,0.963834308120304,0.8674508773082736,1.9078947368421053,2.5410177214080742,2.1175147678400617,1.9057632910560556,5.657894736842105,7.535431863486014,6.279526552905011,5.651573897614511,24.223684210526315,32.26216293180872,26.88513577650727,24.19662219885654,3398.2,51,0,51,136,503,309,7,22,8,414,13,9,280,3,4,76,269,150,186,1,1,28,295,546,469,3,7,167,7,6,44,1,73.0,164
Zaccharie Risacher,ATL,20.0,75,38,37,0.507,24.57848888888889,4.76,9.295933571542232,7.746611309618528,6.971950178656675,10.386666666666667,20.28440406787507,16.903670056562557,15.213303050906303,0.458,1.6266666666666667,3.176761612683901,2.6473013439032504,2.3825712095129257,4.586666666666667,8.957426186584112,7.4645218221534275,6.718069639938085,0.355,1.4133333333333333,2.7601371388892906,2.3001142824077423,2.070102854166968,1.9866666666666666,3.879815412212305,3.2331795101769205,2.9098615591592285,0.711,1.1466666666666667,2.239356546646028,1.8661304555383569,1.6795174099845211,2.4266666666666667,4.739103389413687,3.9492528245114062,3.5543275420602654,3.5733333333333333,6.978459936059716,5.815383280049763,5.2338449520447865,1.2266666666666666,2.395590724319007,1.9963256035991725,1.7966930432392552,1.2266666666666666,2.395590724319007,1.9963256035991725,1.7966930432392552,0.6933333333333334,1.3540295398324822,1.1283579498604017,1.0155221548743616,0.49333333333333335,0.9634440956500354,0.8028700797083628,0.7225830717375266,0.7066666666666667,1.3800685694446453,1.1500571412038711,1.035051427083484,1.9866666666666666,3.879815412212305,3.2331795101769205,2.9098615591592285,1.4133333333333333,2.7601371388892906,2.3001142824077423,2.070102854166968,12.56,24.52876589465766,20.440638245548048,18.396574420993243,1576.6,1,0,59,110,465,264,117,94,87,248,95,88,228,130,118,381,95,178,150,245,120,152,99,517,476,158,94,465,137,198,44,1,80.0,200
Onyeka Okongwu,ATL,24.0,74,35,39,0.473,27.890900900900903,5.243243243243243,9.023576419058816,7.519647015882347,6.767682314294112,9.243243243243244,15.90754193462946,13.25628494552455,11.930656450972094,0.567,0.6486486486486487,1.1163187322546988,0.9302656102122491,0.8372390491910241,2.0,3.441982757785322,2.8683189648211016,2.5814870683389914,0.324,2.2162162162162162,3.8140890018702214,3.178407501558518,2.860566751402666,2.918918918918919,5.023434295146146,4.186195245955121,3.767575721359609,0.759,2.972972972972973,5.11646085616737,4.263717380139475,3.8373456421255274,5.945945945945946,10.23292171233474,8.52743476027895,7.674691284251055,8.91891891891892,15.34938256850211,12.791152140418426,11.512036926376583,2.27027027027027,3.9071155628914465,3.2559296357428718,2.930336672168585,1.2162162162162162,2.0930976229775604,1.744248019147967,1.5698232172331703,0.9324324324324325,1.6047081776161298,1.337256814680108,1.2035311332120973,0.918918918918919,1.5814515373608233,1.3178762811340194,1.1860886530206174,0.6756756756756757,1.1628320127653113,0.9690266773044263,0.8721240095739836,2.608108108108108,4.488531569274102,3.7404429743950853,3.3663986769555767,2.2567567567567566,3.88385892263614,3.2365491021967836,2.912894191977105,13.35135135135135,22.977560572242552,19.14796714353546,17.233170429181914,2353.0,28,0,71,149,486,311,82,76,104,57,246,244,328,71,71,296,9,19,14,122,124,83,37,506,549,84,88,157,56,22,44,1,82.0,240
Terance Mann,ATL,28.0,67,37,30,0.552,21.10820895522388,3.0597014925373136,6.957751458370161,5.798126215308468,5.218313593777621,6.164179104477612,14.01732366978964,11.681103058158033,10.51299275234223,0.496,0.8955223880597015,2.0364150609863887,1.6970125508219904,1.5273112957397914,2.4328358208955225,5.5322609156796885,4.610217429733074,4.149195686759766,0.368,0.7014925373134329,1.5951917977726713,1.3293264981438926,1.1963938483295034,1.0149253731343284,2.307937069117907,1.923280890931589,1.7309528018384301,0.691,1.0149253731343284,2.307937069117907,1.923280890931589,1.7309528018384301,1.955223880597015,4.446172883153615,3.705144069294679,3.334629662365211,2.970149253731343,6.754109952271522,5.628424960226268,5.065582464203642,1.8059701492537314,4.106770372989216,3.4223086441576807,3.0800777797419125,0.7014925373134329,1.5951917977726713,1.3293264981438926,1.1963938483295034,0.7014925373134329,1.5951917977726713,1.3293264981438926,1.1963938483295034,0.22388059701492538,0.5091037652465972,0.4242531377054976,0.38182782393494785,0.417910447761194,0.9503270284603147,0.7919391903835955,0.712745271345236,1.9104477611940298,4.344352130104296,3.6202934417535797,3.258264097578222,0.9552238805970149,2.172176065052148,1.8101467208767898,1.629132048789111,7.7164179104477615,17.547109775499383,14.622591479582818,13.160332331624536,1076.3,0,0,147,124,383,227,193,203,227,141,222,229,178,266,255,405,129,264,231,190,265,178,257,402,438,247,227,446,231,281,44,2,77.0,215
Caris LeVert,ATL,30.0,64,46,18,0.719,24.939166666666665,4.375,8.420489858656063,7.017074882213387,6.315367393992048,9.359375,18.013833661910652,15.011528051592208,13.510375246432988,0.467,1.65625,3.187756875062653,2.6564640625522107,2.3908176562969894,4.4375,8.540782570922579,7.117318809102149,6.4055869281919335,0.373,1.71875,3.3080495873291675,2.756707989440973,2.4810371904968758,2.421875,4.661342600327464,3.8844521669395533,3.4960069502455977,0.71,0.640625,1.2330003007317807,1.0275002506098172,0.9247502255488356,2.53125,4.871854846793866,4.059879038994888,3.653891135095399,3.171875,6.1048551475256465,5.087379289604705,4.578641360644235,3.359375,6.465733284325192,5.388111070270993,4.849299963243894,1.1875,2.2855615330637886,1.9046346108864907,1.7141711497978416,0.890625,1.7141711497978416,1.4284759581648678,1.285628362348381,0.515625,0.9924148761987504,0.8270123968322919,0.7443111571490627,0.421875,0.8119758077989776,0.6766465064991479,0.6089818558492331,1.546875,2.9772446285962513,2.4810371904968758,2.2329334714471885,1.703125,3.277976409262539,2.7316470077187827,2.4584823069469044,12.125,23.336786179703946,19.447321816419954,17.50258963477796,1536.1,1,0,170,45,211,66,161,132,131,220,123,134,160,125,110,386,242,217,228,93,167,135,115,395,346,154,129,56,146,198,44,2,78.0,205
Vít Krejčí,ATL,25.0,57,28,29,0.491,20.221608187134503,2.543859649122807,6.038355704843554,5.031963087369629,4.528766778632666,5.12280701754386,12.159999074581503,10.133332562151251,9.119999305936126,0.497,1.5789473684210527,3.747944920247723,3.1232874335397693,2.8109586901857924,3.6140350877192984,8.578629484122565,7.148857903435472,6.433972113091924,0.437,0.5614035087719298,1.3326026383103016,1.110502198591918,0.9994519787327262,0.7894736842105263,1.8739724601238614,1.5616437167698847,1.4054793450928962,0.711,0.38596491228070173,0.9161643138383323,0.7634702615319435,0.6871232353787492,2.3508771929824563,5.580273547924388,4.650227956603656,4.1852051609432905,2.736842105263158,6.49643786176272,5.4136982181355995,4.87232839632204,2.5789473684210527,6.1216433697379475,5.101369474781623,4.591232527303461,0.8771929824561403,2.0821916223598462,1.7351596852998719,1.5616437167698847,0.631578947368421,1.4991779680990893,1.2493149734159077,1.124383476074317,0.45614035087719296,1.0827396436271202,0.9022830363559333,0.81205473272034,0.14035087719298245,0.3331506595775754,0.2776255496479795,0.24986299468318154,1.8421052631578947,4.372602406955677,3.6438353391297307,3.2794518052167576,0.7192982456140351,1.7073971303350737,1.4228309419458949,1.2805478477513053,7.228070175438597,17.15725896824513,14.297715806870944,12.867944226183848,955.7,1,0,232,220,362,295,245,271,280,139,155,193,23,312,308,382,349,259,288,149,257,244,158,187,365,321,264,404,258,198,44,1,80.0,195
Clint Capela,ATL,31.0,55,27,28,0.491,21.38969696969697,3.963636363636364,8.89468166491939,7.412234720766158,6.671011248689542,7.090909090909091,15.912503895956705,13.260419913297255,11.93437792196753,0.559,0.0,0.0,0.0,0.0,0.01818181818181818,0.04080129204091462,0.03400107670076219,0.03060096903068597,0.0,0.9454545454545454,2.1216671861275604,1.7680559884396339,1.5912503895956704,1.7636363636363637,3.957725327968719,3.2981044399739323,2.968293995976539,0.536,3.1636363636363636,7.099424815119145,5.916187345932621,5.324568611339359,5.363636363636363,12.036381152069815,10.030317626724845,9.027285864052361,8.527272727272727,19.13580596718896,15.946504972657467,14.35185447539172,1.1272727272727272,2.529680106536707,2.108066755447256,1.89726007990253,0.8545454545454545,1.9176607259229874,1.598050604935823,1.4382455444422406,0.6181818181818182,1.3872439293910974,1.1560366078259146,1.0404329470433231,0.9636363636363636,2.162468478168475,1.8020570651403962,1.6218513586263565,0.6545454545454545,1.4688465134729265,1.2240387612274388,1.1016348851046949,1.9272727272727272,4.32493695633695,3.6041141302807924,3.243702717252713,1.6181818181818182,3.631314991641402,3.0260958263678353,2.7234862437310516,8.872727272727273,19.91103051596634,16.59252542997195,14.933272886974754,1357.8,11,0,253,232,349,297,239,191,235,62,499,525,499,251,187,501,22,72,41,313,265,259,52,441,371,192,236,429,176,55,44,1,82.0,256
Garrison Mathews,ATL,28.0,47,21,26,0.447,17.649113475177305,2.1702127659574466,5.902291518067932,4.91857626505661,4.426718638550949,5.468085106382978,14.871460001406456,12.392883334505381,11.153595001054843,0.397,1.8085106382978724,4.918576265056609,4.098813554213842,3.6889321987924575,4.638297872340425,12.614701479792247,10.512251233160207,9.461026109844186,0.39,1.3617021276595744,3.7033985995720355,3.086165499643363,2.7775489496790264,1.6595744680851063,4.513517043228418,3.7612642026903487,3.385137782421314,0.821,0.2765957446808511,0.7522528405380697,0.626877367115058,0.5641896304035523,1.574468085106383,4.282054630755166,3.568378858962639,3.211540973066375,1.851063829787234,5.034307471293236,4.195256226077697,3.7757306034699267,1.2765957446808511,3.4719361870987835,2.8932801559156527,2.6039521403240875,0.6595744680851063,1.7938336966677046,1.494861413889754,1.3453752725007786,0.5531914893617021,1.5045056810761395,1.253754734230116,1.1283792608071046,0.3191489361702128,0.8679840467746959,0.7233200389789132,0.6509880350810219,0.0851063829787234,0.23146241247325222,0.19288534372771018,0.17359680935493915,1.7234042553191489,4.687113852583358,3.9059282104861315,3.515335389437518,1.446808510638298,3.9348610120452876,3.279050843371073,2.951145759033966,7.51063829787234,20.426557900764507,17.022131583970424,15.31991842557338,639.4,0,0,298,280,315,351,300,322,303,453,165,185,114,216,229,167,419,342,366,314,330,304,257,125,295,235,286,393,319,281,44,1,78.0,215
Jalen Wilson,BKN,24.0,79,25,54,0.316,25.713755274261604,3.1139240506329116,5.8127781351326515,4.843981779277209,4.359583601349488,7.848101265822785,14.650091234887169,12.208409362405973,10.987568426165376,0.397,1.5443037974683544,2.882759888155217,2.4022999067960145,2.1620699161164127,4.582278481012659,8.55376294682122,7.128135789017682,6.415322210115914,0.337,1.7088607594936709,3.1899392204996255,2.6582826837496882,2.3924544153747194,2.088607594936709,3.898814602832876,3.2490121690273965,2.924110952124657,0.818,0.9493670886075949,1.7721884558331253,1.476823713194271,1.329141341874844,2.4683544303797467,4.607689985166126,3.839741654305105,3.4557674888745944,3.4177215189873418,6.379878440999251,5.3165653674993765,4.784908830749439,1.8354430379746836,3.4262310146107096,2.855192512175591,2.569673260958032,1.0,1.8667051734775586,1.5555876445646322,1.4000288801081688,0.5063291139240507,0.9451671764443335,0.7876393137036113,0.7088753823332501,0.06329113924050633,0.11814589705554168,0.09845491421295141,0.08860942279165626,0.46835443037974683,0.8742796382110085,0.7285663651758405,0.6557097286582564,2.0759493670886076,3.875185423421768,3.2293211861848063,2.9063890675663258,1.5443037974683544,2.882759888155217,2.4022999067960145,2.1620699161164127,9.481012658227849,17.698255378920145,14.748546149100122,13.273691534190108,1346.5,0,0,23,252,557,448,86,172,125,454,95,78,287,97,102,169,115,158,146,153,160,214,396,451,511,129,137,535,177,281,44,1,78.0,220
Keon Johnson,BKN,23.0,79,25,54,0.316,24.36964135021097,3.8354430379746836,7.554533248032024,6.295444373360021,5.665899936024019,9.860759493670885,19.422380858801805,16.185317382334837,14.566785644101355,0.389,1.5949367088607596,3.1414890734390597,2.6179075611992166,2.356116805079295,5.075949367088608,9.997913638484627,8.33159469873719,7.49843522886347,0.314,1.3544303797468353,2.6677724671268206,2.223143722605684,2.0008293503451156,1.759493670886076,3.465610961968486,2.8880091349737387,2.5992082214763648,0.77,0.7974683544303798,1.5707445367195298,1.3089537805996083,1.1780584025396474,2.962025316455696,5.8341939935296825,4.861828327941402,4.375645495147262,3.759493670886076,7.404938530249211,6.17078210854101,5.553703897686908,2.2151898734177213,4.363179268665361,3.6359827238878006,3.2723844514990206,1.4683544303797469,2.892164543801039,2.410137119834199,2.1691234078507793,1.0379746835443038,2.0444611430317687,1.703717619193141,1.5333458572738268,0.379746835443038,0.7479735889140618,0.6233113240950515,0.5609801916855464,0.9493670886075949,1.8699339722851547,1.5582783102376287,1.402450479213866,2.6455696202531644,5.210882669434631,4.342402224528859,3.908162002075973,1.518987341772152,2.9918943556562474,2.493245296380206,2.2439207667421854,10.620253164556962,20.91832803662993,17.43194003052494,15.688746027472448,1677.9,0,0,23,252,557,448,102,114,87,469,90,57,351,128,132,272,144,112,123,118,81,43,132,555,560,133,111,562,114,281,44,1,77.0,185
Nic Claxton,BKN,26.0,70,20,50,0.286,26.88188095238095,4.571428571428571,8.162694114198004,6.802245095165004,6.122020585648503,8.114285714285714,14.488782052701456,12.073985043917881,10.866586539526093,0.563,0.07142857142857142,0.1275420955343438,0.10628507961195319,0.09565657165075786,0.3,0.5356768012442441,0.44639733437020335,0.401757600933183,0.238,1.1285714285714286,2.0151651094426324,1.6793042578688602,1.5113738320819743,2.2,3.92829654245779,3.273580452048158,2.9462224068433422,0.513,2.242857142857143,4.004821799778396,3.3373514998153295,3.0036163498337967,5.114285714285714,9.132014040259017,7.610011700215847,6.8490105301942625,7.357142857142857,13.136835840037413,10.947363200031177,9.85262688002806,2.242857142857143,4.004821799778396,3.3373514998153295,3.0036163498337967,1.2428571428571429,2.2192324622975823,1.8493603852479854,1.6644243467231867,0.8857142857142857,1.5815219846258635,1.3179349871882196,1.1861414884693975,1.4285714285714286,2.5508419106868763,2.1257015922390634,1.9131314330151572,0.42857142857142855,0.7652525732060629,0.6377104776717191,0.5739394299045472,2.142857142857143,3.8262628660303144,3.1885523883585956,2.869697149522736,2.557142857142857,4.566007020129509,3.8050058501079236,3.4245052650971313,10.342857142857143,18.468095433372984,15.390079527810821,13.851071575029739,1976.5,13,0,118,296,552,464,109,107,150,60,435,429,452,177,112,505,29,39,30,142,132,106,13,416,480,70,145,563,84,46,44,1,83.0,215
Ziaire Williams,BKN,23.0,63,22,41,0.349,24.466719576719576,3.3968253968253967,6.66405721193458,5.553381009945483,4.998042908950935,8.253968253968255,16.193036215915797,13.494196846596498,12.144777161936847,0.412,1.6349206349206349,3.207466788921783,2.6728889907681523,2.4056000916913374,4.7936507936507935,9.404417186935714,7.837014322446429,7.053312890201785,0.341,1.6031746031746033,3.1451858803990302,2.6209882336658588,2.358889410299273,1.9523809523809523,3.830275874149314,3.191896561791095,2.8727069056119854,0.821,0.9682539682539683,1.8995677099439687,1.5829730916199738,1.4246757824579765,3.5873015873015874,7.037742663071096,5.864785552559248,5.278306997303322,4.555555555555555,8.937310373015066,7.447758644179222,6.7029827797612995,1.3333333333333333,2.615798157955629,2.1798317982963575,1.9618486184667216,1.0634920634920635,2.086410435512228,1.7386753629268568,1.564807826634171,0.9841269841269841,1.9307081642053454,1.608923470171121,1.448031123154009,0.4444444444444444,0.8719327193185429,0.7266105994321191,0.6539495394889072,0.6031746031746031,1.1833372619323084,0.9861143849435904,0.8875029464492313,2.365079365079365,4.639927684945103,3.86660640412092,3.4799457637088276,1.8412698412698412,3.6122926943196783,3.0102439119330655,2.709219520739759,10.031746031746032,19.68076709318997,16.400639244324974,14.760575319892478,1305.4,2,0,185,274,512,433,169,193,172,413,133,124,275,136,155,165,150,117,133,256,199,106,144,458,476,142,178,551,189,159,44,1,81.0,185
Tyrese Martin,BKN,26.0,60,16,44,0.267,21.922,3.15,6.8971809141501685,5.747650761791807,5.172885685612626,7.75,16.969254630052003,14.141045525043337,12.726940972539003,0.406,1.65,3.612809050269136,3.0106742085576133,2.709606787701852,4.7,10.29103184016057,8.575859866800474,7.718273880120427,0.351,0.7666666666666667,1.6786789526503059,1.3988991272085882,1.2590092144877294,0.9666666666666667,2.116595201167777,1.7638293343064806,1.5874464008758327,0.793,0.9666666666666667,2.116595201167777,1.7638293343064806,1.5874464008758327,2.683333333333333,5.87537633427607,4.8961469452300586,4.406532250707053,3.65,7.991971535443847,6.659976279536539,5.993978651582886,2.033333333333333,4.452148526594289,3.710123772161907,3.3391113949457165,1.2333333333333334,2.7004835325244048,2.2504029437703372,2.0253626493933035,0.5666666666666667,1.2407627041328346,1.0339689201106954,0.9305720280996259,0.15,0.3284371863881033,0.27369765532341944,0.24632788979107748,0.25,0.5473953106468388,0.4561627588723657,0.4105464829851291,1.2833333333333334,2.8099625946537725,2.3416354955448107,2.1074719459903295,0.8333333333333334,1.8246510354894627,1.5205425295745523,1.368488276617097,8.716666666666667,19.08584983121978,15.904874859349816,14.314387373414835,1023.8,1,0,206,340,524,480,213,227,202,424,140,135,243,271,277,230,164,218,202,189,174,259,346,284,288,290,225,530,243,198,44,1,78.0,215
D'Angelo Russell,BKN,29.0,58,26,32,0.448,25.524454022988504,4.293103448275862,8.07339366913181,6.727828057609843,6.055045251848858,11.0,20.686044822916045,17.23837068576337,15.514533617187034,0.39,1.9482758620689655,3.6638292554694565,3.053191046224547,2.7478719416020922,6.206896551724138,11.672376389106233,9.726980324255194,8.754282291829675,0.314,2.086206896551724,3.923215397449595,3.269346164541329,2.942411548087196,2.5,4.701373823390011,3.917811519491675,3.5260303675425075,0.834,0.3448275862068966,0.6484653549503463,0.5403877957919552,0.48634901621275967,2.4482758620689653,4.604104020147458,3.8367533501228817,3.4530780151105938,2.793103448275862,5.252569375097805,4.3771411459148375,3.9394270313233535,5.120689655172414,9.629710521012642,8.024758767510535,7.222282890759481,1.8620689655172413,3.5017129167318704,2.9180940972765583,2.6262846875489028,0.9655172413793104,1.8157029938609697,1.5130858282174748,1.3617772453957273,0.39655172413793105,0.7457351581928983,0.6214459651607486,0.5593013686446737,0.2413793103448276,0.4539257484652424,0.3782714570543687,0.3404443113489318,1.9827586206896552,3.7286757909644908,3.107229825803742,2.796506843223368,2.396551724137931,4.506834216904907,3.755695180754089,3.38012566267868,12.620689655172415,23.733831991182672,19.778193325985562,17.800373993387005,1500.9,4,0,223,240,413,348,181,167,118,468,108,79,353,114,122,130,364,249,276,63,91,136,173,268,402,104,143,236,152,116,44,2,75.0,193
Cameron Johnson,BKN,29.0,57,21,36,0.368,31.574795321637428,6.228070175438597,9.467911521700074,7.889926268083396,7.1009336412750566,13.105263157894736,19.922619455521005,16.60218287960084,14.941964591640755,0.475,2.789473684210526,4.2405575547896115,3.5337979623246762,3.180418166092209,7.157894736842105,10.881430706629946,9.067858922191622,8.16107302997246,0.39,3.526315789473684,5.360704833413282,4.467254027844402,4.020528625059962,3.9473684210526314,6.000788992626808,5.000657493855673,4.500591744470106,0.893,0.9473684210526315,1.440189358230434,1.2001577985253618,1.0801420186728254,3.3859649122807016,5.147343447008773,4.2894528725073116,3.86050758525658,4.333333333333333,6.587532805239208,5.489610671032673,4.940649603929406,3.4035087719298245,5.174013620309337,4.311678016924447,3.8805102152320026,1.736842105263158,2.6403471567557957,2.2002892972964965,1.9802603675668466,0.9298245614035088,1.4135191849298705,1.1779326541082253,1.0601393886974029,0.43859649122807015,0.6667543325140899,0.5556286104284082,0.5000657493855674,0.631578947368421,0.9601262388202894,0.8001051990169078,0.720094679115217,1.8245614035087718,2.7736980232586137,2.311415019382178,2.08027351744396,2.982456140350877,4.533929461095811,3.778274550913175,3.400447095821858,18.771929824561404,28.537085431603042,23.780904526335867,21.40281407370228,1792.4,2,0,232,280,455,414,129,95,95,194,49,54,115,53,68,51,175,165,173,105,109,149,162,441,361,80,77,512,106,159,44,1,80.0,210
Day'Ron Sharpe,BKN,23.0,50,14,36,0.28,18.149166666666666,3.3,8.727673446898388,7.2730612057486566,6.545755085173791,6.34,16.767712016162356,13.973093346801964,12.575784012121767,0.521,0.22,0.5818448964598926,0.4848707470499104,0.43638367234491937,0.9,2.380274576426833,1.9835621470223608,1.7852059323201246,0.244,1.12,2.9621194728867257,2.4684328940722713,2.221589604665044,1.48,3.914229303457459,3.261857752881216,2.935671977593094,0.757,2.98,7.88135359750218,6.567794664585151,5.911015198126635,3.62,9.573993296294596,7.9783277469121625,7.180494972220947,6.6,17.455346893796776,14.546122411497313,13.091510170347583,1.82,4.813444143440929,4.011203452867441,3.610083107580697,1.26,3.332384406997566,2.7769870058313053,2.4992883052481747,0.82,2.1686946140777814,1.8072455117314845,1.6265209605583362,0.84,2.221589604665044,1.8513246705542037,1.6661922034987833,0.54,1.4281647458561,1.1901372882134167,1.071123559392075,2.26,5.977133936360714,4.980944946967262,4.482850452270536,1.46,3.861334312870196,3.217778594058496,2.8960007346526466,7.94,20.999311263143394,17.499426052619494,15.749483447357546,1115.5,4,0,283,364,455,469,285,253,266,91,390,377,446,235,236,300,32,180,96,248,208,209,75,395,392,221,270,128,221,116,44,1,81.0,265
Noah Clowney,BKN,20.0,46,11,35,0.239,22.658405797101448,2.891304347826087,6.124994403331138,5.104162002775948,4.593745802498353,8.08695652173913,17.13156329352769,14.276302744606411,12.84867247014577,0.358,1.891304347826087,4.006575286389541,3.3388127386579507,3.004931464792156,5.673913043478261,12.019725859168624,10.016438215973853,9.014794394376468,0.333,1.4565217391304348,3.0855234964149334,2.571269580345778,2.3141426223112003,1.7391304347826086,3.6842071598984285,3.0701726332486907,2.7631553699238216,0.838,0.9347826086956522,1.9802613484454055,1.6502177903711712,1.485196011334054,3.0,6.355257350824789,5.29604779235399,4.766443013118591,3.9347826086956523,8.335518699270194,6.946265582725162,6.251639024452645,0.8695652173913043,1.8421035799492143,1.5350863166243454,1.3815776849619108,1.0,2.1184191169415967,1.765349264117997,1.5888143377061974,0.5217391304347826,1.1052621479695286,0.9210517899746072,0.8289466109771465,0.45652173913043476,0.9671043794733376,0.8059203162277813,0.7253282846050032,0.6086956521739131,1.2894725059644498,1.0745604216370417,0.9671043794733375,2.282608695652174,4.835521897366688,4.029601581138906,3.6266414230250157,1.7826086956521738,3.7763123388958895,3.1469269490799077,2.832234254171917,9.130434782608695,19.34208758946675,16.118406324555625,14.506565692100063,786.2,0,0,307,407,447,502,264,285,244,501,161,150,297,206,224,125,233,253,253,368,267,320,194,402,365,203,261,533,291,281,44,1,81.0,210
